"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit","Real Factor Income Threshold"
"1981","4","Top 10%","adult_equal_split","0.3355327066666667","15970332.666507466","13349754.336172745","10946650.281320974","2917020938137.072","0.35166993566996274","0.05634930304965408","182652.48439405186","101568.69896866092"
"1982","1","Top 10%","adult_equal_split","0.3401483566666667","16037518.542364908","13400467.00723242","11000673.327151643","2870399460191.8345","0.3503694003332529","0.035111502273205135","178980.27382536465","101032.6241282422"
"1982","2","Top 10%","adult_equal_split","0.34456694","16108359.654701868","13450953.145740984","11055659.776387157","2905766877872.074","0.3533421289342552","0.04325726512887698","180388.75094422852","101390.05708833429"
"1982","3","Top 10%","adult_equal_split","0.3494554766666667","16169385.096350944","13493243.765975362","11103908.791200085","2907717766406.903","0.3561389306314732","0.04001765526496428","179828.59268180258","100731.07052739635"
"1982","4","Top 10%","adult_equal_split","0.35307822333333333","16227385.739438338","13533017.27101046","11150075.416081797","2912042730521.341","0.3586450787249306","0.03784177994212513","179452.3638791699","99998.87628202412"
"1983","1","Top 10%","adult_equal_split","0.35574606333333336","16293836.172746757","13583899.119092137","11206863.459956521","2969374935737.944","0.3611198987541686","0.053958860758433785","182239.15499436232","100902.90548468237"
"1983","2","Top 10%","adult_equal_split","0.35838355666666666","16363312.296668014","13639330.929819606","11268148.791322017","3048855480160.1743","0.36374103210599834","0.07757519582726431","186322.63596050776","102152.01689453212"
"1983","3","Top 10%","adult_equal_split","0.36219587000000003","16422395.676276244","13686099.551141046","11322280.177426906","3107790951214.416","0.3647633702347963","0.09445334394592379","189241.02259355033","103182.77762914334"
"1983","4","Top 10%","adult_equal_split","0.36493950000000003","16479474.862060986","13731199.095697837","11375023.382334197","3201674922416.396","0.3657680640699537","0.12361061240620246","194282.5817700833","105639.30228954235"
"1984","1","Top 10%","adult_equal_split","0.36863805","16541404.909241349","13781481.070161173","11423490.255441377","3315099111372.9844","0.368024132875718","0.15906046021204362","200412.18563732188","107928.21929689293"
"1984","2","Top 10%","adult_equal_split","0.37179094333333335","16606785.90788577","13835208.139297193","11470529.944769233","3370470233899.7183","0.36753117295623094","0.17378046014179532","202957.40865179955","109145.96115115615"
"1984","3","Top 10%","adult_equal_split","0.3750954266666667","16658991.252575263","13877958.953666098","11508467.888145128","3392355144897.547","0.36622631404423267","0.17769973780405962","203635.08771115614","109698.45085896649"
"1984","4","Top 10%","adult_equal_split","0.37789966999999997","16708506.072005458","13918469.463967165","11544544.476310814","3432370844109.0366","0.367200066870849","0.18806048043995985","205426.55515204073","109841.18019528234"
"1985","1","Top 10%","adult_equal_split","0.38163615666666667","16766599.356787557","13966743.858336637","11592981.285766335","3458121490469.81","0.367871618250218","0.1928263555639444","206250.61867837096","110126.12613988265"
"1985","2","Top 10%","adult_equal_split","0.3840917566666667","16827004.783009946","14017263.6662004","11646882.517308047","3483642425514.357","0.36775598236121604","0.19731581537067427","207026.88746078892","110434.5687036959"
"1985","3","Top 10%","adult_equal_split","0.38641098","16877629.522840917","14059650.846544586","11694911.820177004","3541580092504.018","0.3694425711531931","0.21357769182619576","209838.7150702123","111224.0938348768"
"1985","4","Top 10%","adult_equal_split","0.3885710066666667","16925209.657405432","14099518.069395067","11741813.951122105","3556075489178.979","0.36909654909488204","0.21511919374714197","210105.25489254773","111558.42954681255"
"1986","1","Top 10%","adult_equal_split","0.3905036366666667","16978823.71464107","14139454.103062676","11799117.881431336","3591381468203.432","0.3696086728458926","0.22330824953819955","211521.2177570661","112166.56652283245"
"1986","2","Top 10%","adult_equal_split","0.3919815833333333","17034044.328857854","14178247.57650113","11860344.603597814","3593355860225.1753","0.37015825379611045","0.2200128978146047","210951.4212157808","111716.39908462173"
"1986","3","Top 10%","adult_equal_split","0.3935883333333334","17080163.208398703","14209472.50553488","11915210.966419438","3616577512248.129","0.3704270378595187","0.2245815944082952","211741.3907655037","112436.52767796673"
"1986","4","Top 10%","adult_equal_split","0.3957332","17124570.076972246","14239284.380234726","11968847.40707414","3628882636303.651","0.36952778424480326","0.22556178913983202","211910.87542591695","113196.14698598243"
"1987","1","Top 10%","adult_equal_split","0.3982646266666667","17173330.014257878","14271625.951154873","12026268.323685134","3700698724254.401","0.372654114487703","0.24626724566239885","215491.0387899118","113840.5057853902"
"1987","2","Top 10%","adult_equal_split","0.40102338","17224028.9402556","14305031.060781358","12085427.39203293","3812022095708.279","0.37708622607534004","0.2799783653628911","221320.00061837502","114844.99439259153"
"1987","3","Top 10%","adult_equal_split","0.40406258","17267058.734347448","14332070.223169094","12139195.944062201","3913844877839.7935","0.3812846263983547","0.31089289264676895","226665.40596485118","115572.11029542529"
"1987","4","Top 10%","adult_equal_split","0.4072836866666667","17307386.57056533","14356874.764362855","12191043.136738194","3998031072173.472","0.3839637275165735","0.3359697893394406","231001.43143349688","116335.7628842598"
"1988","1","Top 10%","adult_equal_split","0.41047448","17355353.801002983","14390496.18809002","12238028.655978702","4071466432586.836","0.3858863901080128","0.35674851044335154","234594.2629156625","117336.14450208204"
"1988","2","Top 10%","adult_equal_split","0.41446864666666666","17406966.452967674","14428375.776609672","12282473.005099507","4124670216601.205","0.38656438650595026","0.3704023817644713","236955.1425141053","118062.21948230301"
"1988","3","Top 10%","adult_equal_split","0.41942534666666664","17450858.195560805","14459854.131166821","12321471.845752887","4178764414507.4375","0.38817603715590127","0.3848829375057795","239458.9634319785","118715.80330468791"
"1988","4","Top 10%","adult_equal_split","0.42304816","17494817.161622565","14491388.505618295","12360517.6224","4301488010750.981","0.39365704329240614","0.42197275400730744","245872.13293014132","119967.04023288254"
"1989","1","Top 10%","adult_equal_split","0.42745917000000005","17546587.28866433","14530381.065973828","12409496.653007502","4310547185084.896","0.39214529034283446","0.4207632291318376","245662.99498419563","120410.12099268404"
"1989","2","Top 10%","adult_equal_split","0.43201417999999997","17601801.2963866","14572716.366680307","12463132.065082436","4275193549780.9663","0.3901959576378289","0.40469046212732335","242883.8661335532","119987.79808889252"
"1989","3","Top 10%","adult_equal_split","0.43516708333333326","17648980.26229852","14608396.306902552","12511091.249552453","4285844890922.283","0.3896532103241608","0.40442579774826354","242838.10323464632","120043.95978827978"
"1989","4","Top 10%","adult_equal_split","0.4382669133333333","17703602.12716748","14650233.475630416","12564341.129807929","4269394305238.508","0.38772133430293865","0.394718598321563","241159.63940958708","119738.81422162778"
"1990","1","Top 10%","adult_equal_split","0.4429962533333333","17770945.61678954","14701329.965058723","12623263.706859156","4324932576911.951","0.38875920522026614","0.4075076694709244","243370.9871255171","120599.78325433079"
"1990","2","Top 10%","adult_equal_split","0.4479605166666667","17843524.999794114","14756119.439038217","12684232.341883285","4373100977864.5063","0.3905981218730581","0.4173947450834069","245080.5531931031","121022.43244754481"
"1990","3","Top 10%","adult_equal_split","0.45179553666666666","17910829.8588847","14806540.231371885","12741463.710617134","4366437423193.5254","0.3910927429569543","0.4099168423539825","243787.5552163512","121058.92004193457"
"1990","4","Top 10%","adult_equal_split","0.45516065","17975817.186017815","14855040.179499736","12797055.369714884","4373996951438.824","0.39252365237284353","0.4072517574685753","243326.73759282907","120891.48778793674"
"1991","1","Top 10%","adult_equal_split","0.45961714000000004","18046835.4907462","14907381.618236922","12857466.873857304","4375992117974.724","0.39470381252151787","0.4023532908296838","242479.74777730883","119142.78466900287"
"1991","2","Top 10%","adult_equal_split","0.4629898266666667","18118550.130960267","14959725.28769202","12918639.803803006","4385256256686.025","0.39538677918729087","0.39975975009291176","242031.30079336045","119662.45338247744"
"1991","3","Top 10%","adult_equal_split","0.4666126133333333","18178877.63248105","15002667.042607328","12971693.665997207","4391837816925.297","0.3951203375499933","0.39720841965813236","241590.15235782188","120090.02557701022"
"1991","4","Top 10%","adult_equal_split","0.4693789566666666","18240047.771920804","15046307.642234592","13025343.774974568","4422168474659.049","0.3956420688914157","0.40213967765420106","242442.8120997933","120937.20488566416"
"1992","1","Top 10%","adult_equal_split","0.47112214666666663","18306347.63125934","15096632.075811615","13087221.593862494","4549945509677.369","0.39915071898305143","0.43742917956040656","248544.69069013122","123532.35367682988"
"1992","2","Top 10%","adult_equal_split","0.47395670333333334","18371134.732127767","15146933.51545232","13150305.281045333","4617060634651.69","0.40127110353751944","0.4534883734457853","251321.47262396876","124182.2107800069"
"1992","3","Top 10%","adult_equal_split","0.47627589","18426512.40717909","15189477.635219837","13206649.712406443","4644921499605.387","0.40266086579065913","0.457864635685834","252078.16850874582","124223.77559065343"
"1992","4","Top 10%","adult_equal_split","0.47955003999999996","18478290.58624338","15229057.339276096","13260399.573007865","4714069901706.253","0.40768186757606045","0.4754217861610684","255113.96087773176","123853.34086632037"
"1993","1","Top 10%","adult_equal_split","0.48224062","18534851.015355673","15272262.604924148","13309225.258328127","4713553271236.177","0.40602317210315503","0.4707582276982694","254307.5888406717","123424.26011840416"
